,Name,Joule(surface),kWh(surface),kWh(meter),Mean,Median,time(ms),time(string)
0,primes.csv,58701.603,0.016306000833333334,0.017,274.5014245014245,275.0,213823,"0 Hours, 3 Minutes, 33 Seconds, 823 Milliseconds"
1,primes_300000.csv,16460.2365,0.004572287916666667,0.004,272.79,273.0,60319,"0 Hours, 1 Minutes, 0 Seconds, 319 Milliseconds"
